Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
The Traveling Vampire Show,Richard Laymon,"Laymon, Richard",,843948507,9.78084E+12,3,3.82,400,2001,2000,8/12/10,3/12/10,,,read
Kick-Ass,Mark Millar,"Millar, Mark",John Romita Jr.,785132619,9.78079E+12,3,4.06,144,2011,2010,8/10/10,3/25/10,,,read
Siddhartha,Hermann Hesse,"Hesse, Hermann",Pedro Miguel Dias,,,3,4.08,127,2002,1922,7/28/10,7/29/10,,,read
"Jaws (Jaws, #1)",Peter Benchley,"Benchley, Peter",,,,4,3.94,368,2005,1974,7/10/10,7/7/10,,,read
Where Men Win Glory: The Odyssey of Pat Tillman,Jon Krakauer,"Krakauer, Jon",,385522266,9.78039E+12,4,4.09,323,2009,2009,7/2/10,7/2/10,,,read
Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,316017922,9.78032E+12,5,4.19,309,2008,2008,6/17/10,1/11/10,,,read
Franny and Zooey,J.D. Salinger,"Salinger, J.D.",,316769029,9.78032E+12,3,3.96,201,2001,1957,6/9/10,6/10/10,,,read
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,"Moore, Christopher",,380813815,9.78038E+12,5,4.22,444,2004,2002,5/26/10,9/25/07,,,read
"Rising Stars, Vol. 2: Power",J. Michael Straczynski,"Straczynski, J. Michael","Ken Lashley, Christian Zanier, Stuart Immonen, Brent Anderson, John Livesay, Brett Evans, Dan Kemp",1582402264,9.78158E+12,4,4.05,192,2002,2002,5/25/10,5/26/10,,,read
Lord of the Flies,William Golding,"Golding, William",E.L. Epstein,,,3,3.7,202,2003,1954,4/4/10,3/25/10,,,read
"Ripley Under Ground (Ripley, #2)",Patricia Highsmith,"Highsmith, Patricia",,679742301,9.78068E+12,4,3.71,298,1992,1970,3/9/10,3/9/10,,,read
Earth Abides,George R. Stewart,"Stewart, George R.",,345487133,9.78035E+12,4,3.94,345,2006,1949,2/25/10,2/28/10,,,read
"Good-Bye, Chunky Rice",Craig Thompson,"Thompson, Craig",,375714766,9.78038E+12,3,3.78,128,2006,1999,2/8/10,2/9/10,,,read
The Nightly News,Jonathan Hickman,"Hickman, Jonathan",,1582407665,9.78158E+12,3,3.84,154,2011,2007,2/7/10,2/9/10,,,read
A Confederacy of Dunces,John Kennedy Toole,"Toole, John Kennedy",Walker Percy,802130208,9.7808E+12,4,3.89,394,1994,1980,2/7/10,1/27/10,,,read
Identity Crisis,Brad Meltzer,"Meltzer, Brad","Rags Morales, Michael Bair, Joss Whedon",1401204589,9.7814E+12,4,4.05,288,2006,2004,1/24/10,1/26/10,,,read
"Farewell, My Lovely (Philip Marlowe, #2)",Raymond Chandler,"Chandler, Raymond",,,,4,4.09,292,1992,1940,1/5/10,1/7/10,,,read
"You Suck (A Love Story, #2)",Christopher Moore,"Moore, Christopher",,60590297,9.78006E+12,4,3.85,328,2007,2007,12/31/09,2/12/08,,,read
Look at the Birdie: Unpublished Short Fiction,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,038534371X,9.78039E+12,3,3.97,251,2009,2009,12/26/09,12/28/09,,,read
The Splendid Table's How to Eat Supper,Lynne Rossetto Kasper,"Kasper, Lynne Rossetto",Sally Swift,307346714,9.78031E+12,4,3.93,338,2008,2008,12/11/09,12/11/09,,,read
The Road,Cormac McCarthy,"McCarthy, Cormac",,307265439,9.78031E+12,5,4,241,2006,2006,12/11/09,9/27/07,,,read
The Martian Chronicles,Ray Bradbury,"Bradbury, Ray",Michael Whelan,553278223,9.78055E+12,4,4.16,182,1984,1950,12/4/09,8/18/09,,,read
The Sea Wolf,Jack London,"London, Jack",,1598184318,9.7816E+12,5,4.06,425,2005,1904,11/17/09,10/30/09,,,read
In Defense of Food: An Eater's Manifesto,Michael Pollan,"Pollan, Michael",,1594201455,9.78159E+12,5,4.07,205,2008,2008,10/28/09,10/20/08,,,read
The October Country,Ray Bradbury,"Bradbury, Ray",Joe Mugnaini,380973871,9.78038E+12,3,4.1,334,1999,1955,10/16/09,8/14/09,,,read
From Hell,Alan             Moore,"Moore, Alan","Eddie Campbell, Pete Mullins",861661419,9.78086E+12,5,4.19,576,2007,1999,10/3/09,9/23/09,,,read
The Phantom Tollbooth,Norton Juster,"Juster, Norton","Jules Feiffer, Maurice Sendak",394820371,9.78039E+12,5,4.2,248,1996,1961,8/27/09,8/18/09,,,read
The Tooth Fairy,Graham Joyce,"Joyce, Graham",,312868332,9.78031E+12,4,3.81,324,1998,1996,7/15/09,7/14/09,,,read
Monster Spotter's Guide to North America,Scott Francis,"Francis, Scott",,1581809298,9.78158E+12,4,3.82,256,2007,2007,7/5/09,6/12/09,,,read
Catch-22,Joseph Heller,"Heller, Joseph",,684833395,9.78068E+12,4,3.99,453,2004,1961,6/11/09,3/19/09,,,read
"The League of Extraordinary Gentlemen, Vol. 2",Alan             Moore,"Moore, Alan",Kevin O'Neill,1401201180,9.7814E+12,3,3.93,228,2011,2003,5/2/09,5/8/09,,,read
Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"Krug, Steve",,321344758,9.78032E+12,5,4.24,201,2005,2000,4/20/09,4/20/09,,,read
Frankenstein,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",,,,5,3.91,166,1994,1818,3/15/09,1/27/09,,,read
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,"Dahl, Roald",Quentin Blake,142403881,9.78014E+12,4,4.17,176,2005,1964,3/8/09,3/9/09,,,read
A Practical Guide to Designing for the Web,Mark Boulton,"Boulton, Mark",,,,5,3.95,137,2009,2009,2/26/09,2/26/09,,,read
Watchmen,Alan             Moore,"Moore, Alan","Dave Gibbons, John    Higgins",930289234,9.78093E+12,5,4.39,416,2005,1987,2/24/09,2/12/09,,,read
Chess for Dummies,James Eade,"Eade, James",,764584049,9.78076E+12,3,3.84,384,2005,,1/26/09,1/27/09,,,read
House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,,,5,4.09,709,2000,2000,1/7/09,8/4/08,,,read
The History of Love,Nicole Krauss,"Krauss, Nicole",,393328627,9.78039E+12,4,3.92,255,2006,2005,12/21/08,5/30/08,,,read
The Curious Case of Benjamin Button: A Graphic Novel,F. Scott Fitzgerald,"Fitzgerald, F. Scott","Kevin Cornell, Nunzio DeFilippis, Christina Weir",1594742812,9.78159E+12,4,3.71,128,2008,,11/22/08,11/20/08,,,read
"The Goon, Volume 2: My Murderous Childhood (and Other Grievous Yarns)",Eric Powell,"Powell, Eric",Kyle Hotz,1593071094,9.78159E+12,5,4.23,128,2004,2004,11/19/08,11/20/08,,,read
The Haunted Looking Glass,Edward Gorey,"Gorey, Edward",,940322684,9.78094E+12,4,4.04,254,2001,1959,11/3/08,10/27/08,,,read
